Open,High,Low,Close,Date
1262.4,1277.7,1262.4,1275.63,02/10/14 00:00
1273.26,1288.02,1272.67,1284.64,02/11/14 00:00
1279.38,1293.59,1276.95,1290.44,02/12/14 00:00
1290.35,1296.17,1286.17,1293.17,02/13/14 00:00
1293.22,1319.51,1292.21,1314.65,02/14/14 00:00
1317.0,1320.88,1313.5,1313.5,02/15/14 00:00
1313.5,1313.5,1313.5,1313.5,02/16/14 00:00
1313.5,1329.67,1313.5,1327.27,02/17/14 00:00
1326.09,1331.82,1312.6,1318.05,02/18/14 00:00
1321.3,1324.88,1314.28,1319.45,02/19/14 00:00
1320.22,1321.84,1307.53,1312.37,02/20/14 00:00
1315.05,1325.26,1311.29,1322.67,02/21/14 00:00
1323.3,1328.32,1319.05,1324.78,02/22/14 00:00
1320.5,1324.78,1320.5,1324.78,02/23/14 00:00
1320.5,1336.81,1318.94,1331.11,02/24/14 00:00
1333.01,1338.85,1328.76,1336.71,02/25/14 00:00
1334.12,1345.24,1329.6,1332.53,02/26/14 00:00
1332.74,1335.27,1322.48,1331.9,02/27/14 00:00
1331.74,1335.8,1325.03,1331.12,02/28/14 00:00
1330.53,1331.34,1319.76,1321.8,03/01/14 00:00
1321.8,1321.8,1321.8,1321.8,03/02/14 00:00
1321.8,1349.93,1321.8,1345.33,03/03/14 00:00
1348.56,1354.62,1331.35,1333.06,03/04/14 00:00
1333.17,1340.54,1331.29,1337.71,03/05/14 00:00
1335.42,1341.67,1331.09,1337.01,03/06/14 00:00
1345.48,1353.32,1332.03,1350.33,03/07/14 00:00
1330.51,1340.74,1329.14,1334.5,03/08/14 00:00
1334.5,1334.5,1334.5,1334.5,03/09/14 00:00
1334.5,1341.33,1328.26,1338.04,03/10/14 00:00
1336.9,1352.37,1335.86,1350.88,03/11/14 00:00
1348.51,1366.68,1337.79,1361.15,03/12/14 00:00
1364.82,1374.82,1363.35,1368.46,03/13/14 00:00
1366.42,1383.42,1365.01,1374.98,03/14/14 00:00
1387.19,1387.76,1373.39,1382.58,03/15/14 00:00
1381.66,1382.58,1381.66,1382.58,03/16/14 00:00
1381.66,1391.76,1374.58,1377.96,03/17/14 00:00
1377.34,1382.17,1350.73,1353.05,03/18/14 00:00
1353.04,1362.08,1341.71,1346.07,03/19/14 00:00
1344.23,1345.51,1320.55,1321.45,03/20/14 00:00
1325.88,1342.22,1322.98,1338.32,03/21/14 00:00
1339.12,1339.74,1332.58,1333.95,03/22/14 00:00
1333.43,1333.95,1333.43,1333.95,03/23/14 00:00
1333.43,1334.46,1314.5,1322.85,03/24/14 00:00
1316.29,1319.16,1305.72,1306.06,03/25/14 00:00
1312.01,1316.16,1308.05,1310.57,03/26/14 00:00
1310.25,1312.22,1291.62,1293.71,03/27/14 00:00
1297.5,1299.82,1286.36,1287.56,03/28/14 00:00
1288.61,1296.49,1285.77,1293.92,03/29/14 00:00
1293.92,1293.92,1293.92,1293.92,03/30/14 00:00
1293.92,1298.37,1290.29,1293.33,03/31/14 00:00
1291.87,1294.84,1278.06,1284.72,04/01/14 00:00
1283.89,1292.85,1277.62,1289.77,04/02/14 00:00
1291.19,1294.34,1281.62,1283.45,04/03/14 00:00
1284.31,1302.44,1282.62,1292.77,04/04/14 00:00
1299.44,1306.51,1295.98,1298.3,04/05/14 00:00
1298.3,1298.3,1298.3,1298.3,04/06/14 00:00
1298.3,1304.62,1297.93,1298.3,04/07/14 00:00
1298.25,1314.23,1295.53,1311.73,04/08/14 00:00
1311.02,1313.83,1301.51,1303.6,04/09/14 00:00
1302.3,1324.38,1300.78,1323.1,04/10/14 00:00
1317.3,1323.72,1314.08,1322.05,04/11/14 00:00
1318.36,1321.19,1313.5,1313.5,04/12/14 00:00
1313.5,1313.5,1313.5,1313.5,04/13/14 00:00
1313.5,1329.66,1313.5,1322.58,04/14/14 00:00
1326.26,1330.99,1289.52,1290.74,04/15/14 00:00
1294.97,1306.83,1293.09,1301.2,04/16/14 00:00
1301.19,1304.57,1296.37,1301.77,04/17/14 00:00
1301.47,1302.98,1289.9,1294.93,04/18/14 00:00
1294.95,1294.95,1289.9,1289.9,04/19/14 00:00
1289.9,1289.9,1289.9,1289.9,04/20/14 00:00
1289.9,1301.22,1281.82,1286.78,04/21/14 00:00
1287.61,1293.68,1284.81,1291.59,04/22/14 00:00
1288.48,1289.17,1277.65,1287.33,04/23/14 00:00
